n,saddle,method,t,alpha,alpha_drop,m0,skipped
15,1,drop_l_hc,14,5,1,32,0
15,1,drop_l_hc,15,5,1,32,0
15,1,drop_l_hc,16,5,1,32,0
15,1,drop_l_hc,17,5,1,32,0
15,1,drop_l_hc,18,5,1,32,0
15,1,drop_l_hc,19,5,1,32,0
15,1,drop_l_hc,20,5,1,32,0
15,2,random,0,6,0,32,0
15,2,random,1,6,0,32,0
15,2,random,2,6,0,32,0
15,2,random,3,6,0,32,0
15,2,random,4,6,0,32,0
15,2,random,5,6,0,32,0
15,2,random,6,6,0,32,0
15,2,random,7,6,0,32,0
15,2,random,8,6,0,32,0
15,2,random,9,6,0,32,0
15,2,random,10,5,1,32,0
15,2,random,11,5,1,32,0
15,2,random,12,5,1,32,0
15,2,random,13,5,1,32,0
15,2,random,14,5,1,32,0
15,2,random,15,5,1,32,0
15,2,random,16,5,1,32,0
15,2,random,17,5,1,32,0
15,2,random,18,5,1,32,0
15,2,random,19,5,1,32,0
15,2,random,20,5,1,32,0
15,2,drop_alpha,0,6,0,32,0
15,2,drop_alpha,1,6,0,32,0
15,2,drop_alpha,2,5,1,32,0
15,2,drop_alpha,3,5,1,32,0
15,2,drop_alpha,4,5,1,32,0
15,2,drop_alpha,5,5,1,32,0
15,2,drop_alpha,6,5,1,32,0
15,2,drop_alpha,7,5,1,32,0
15,2,drop_alpha,8,5,1,32,0
15,2,drop_alpha,9,5,1,32,0
15,2,drop_alpha,10,5,1,32,0
15,2,drop_alpha,11,5,1,32,0
15,2,drop_alpha,12,5,1,32,0
15,2,drop_alpha,13,5,1,32,0
15,2,drop_alpha,14,5,1,32,0
15,2,drop_alpha,15,5,1,32,0
15,2,drop_alpha,16,5,1,32,0
15,2,drop_alpha,17,5,1,32,0
15,2,drop_alpha,18,5,1,32,0
15,2,drop_alpha,19,5,1,32,0
15,2,drop_alpha,20,5,1,32,0
15,2,hardcore_comarg,0,6,0,32,0
15,2,hardcore_comarg,1,6,0,32,0
15,2,hardcore_comarg,2,5,1,32,0
15,2,hardcore_comarg,3,5,1,32,0
15,2,hardcore_comarg,4,5,1,32,0
15,2,hardcore_comarg,5,5,1,32,0
15,2,hardcore_comarg,6,5,1,32,0
15,2,hardcore_comarg,7,4,2,32,0
15,2,hardcore_comarg,8,4,2,32,0
15,2,hardcore_comarg,9,4,2,32,0
15,2,hardcore_comarg,10,4,2,32,0
15,2,hardcore_comarg,11,4,2,32,0
15,2,hardcore_comarg,12,4,2,32,0
15,2,hardcore_comarg,13,4,2,32,0
15,2,hardcore_comarg,14,4,2,32,0
15,2,hardcore_comarg,15,4,2,32,0
15,2,hardcore_comarg,16,4,2,32,0
15,2,hardcore_comarg,17,4,2,32,0
15,2,hardcore_comarg,18,4,2,32,0
15,2,hardcore_comarg,19,4,2,32,0
15,2,hardcore_comarg,20,4,2,32,0
15,2,sdp_X_uw,0,6,0,32,0
15,2,sdp_X_uw,1,6,0,32,0
15,2,sdp_X_uw,2,5,1,32,0
15,2,sdp_X_uw,3,5,1,32,0
15,2,sdp_X_uw,4,5,1,32,0
15,2,sdp_X_uw,5,5,1,32,0
15,2,sdp_X_uw,6,5,1,32,0
15,2,sdp_X_uw,7,5,1,32,0
15,2,sdp_X_uw,8,4,2,32,0
15,2,sdp_X_uw,9,4,2,32,0
15,2,sdp_X_uw,10,4,2,32,0
15,2,sdp_X_uw,11,4,2,32,0
15,2,sdp_X_uw,12,4,2,32,0
15,2,sdp_X_uw,13,4,2,32,0
15,2,sdp_X_uw,14,4,2,32,0
15,2,sdp_X_uw,15,4,2,32,0
15,2,sdp_X_uw,16,4,2,32,0
15,2,sdp_X_uw,17,4,2,32,0
15,2,sdp_X_uw,18,4,2,32,0
15,2,sdp_X_uw,19,4,2,32,0
15,2,sdp_X_uw,20,4,2,32,0
15,2,lp_xu_plus_xw,0,6,0,32,0
15,2,lp_xu_plus_xw,1,6,0,32,0
15,2,lp_xu_plus_xw,2,6,0,32,0
15,2,lp_xu_plus_xw,3,6,0,32,0
15,2,lp_xu_plus_xw,4,5,1,32,0
15,2,lp_xu_plus_xw,5,5,1,32,0
15,2,lp_xu_plus_xw,6,5,1,32,0
15,2,lp_xu_plus_xw,7,5,1,32,0
15,2,lp_xu_plus_xw,8,4,2,32,0
15,2,lp_xu_plus_xw,9,4,2,32,0
15,2,lp_xu_plus_xw,10,4,2,32,0
15,2,lp_xu_plus_xw,11,4,2,32,0
15,2,lp_xu_plus_xw,12,4,2,32,0
15,2,lp_xu_plus_xw,13,4,2,32,0
15,2,lp_xu_plus_xw,14,4,2,32,0
15,2,lp_xu_plus_xw,15,4,2,32,0
15,2,lp_xu_plus_xw,16,4,2,32,0
15,2,lp_xu_plus_xw,17,4,2,32,0
15,2,lp_xu_plus_xw,18,4,2,32,0
15,2,lp_xu_plus_xw,19,4,2,32,0
15,2,lp_xu_plus_xw,20,4,2,32,0
15,2,hoffman_grad,0,6,0,32,1
15,2,drop_e_max,0,6,0,32,0
15,2,drop_e_max,1,6,0,32,0
15,2,drop_e_max,2,5,1,32,0
15,2,drop_e_max,3,5,1,32,0
15,2,drop_e_max,4,5,1,32,0
15,2,drop_e_max,5,5,1,32,0
15,2,drop_e_max,6,5,1,32,0
15,2,drop_e_max,7,4,2,32,0
15,2,drop_e_max,8,4,2,32,0
15,2,drop_e_max,9,4,2,32,0
15,2,drop_e_max,10,4,2,32,0
15,2,drop_e_max,11,4,2,32,0
15,2,drop_e_max,12,4,2,32,0
15,2,drop_e_max,13,4,2,32,0
15,2,drop_e_max,14,4,2,32,0
15,2,drop_e_max,15,4,2,32,0
15,2,drop_e_max,16,4,2,32,0
15,2,drop_e_max,17,4,2,32,0
15,2,drop_e_max,18,4,2,32,0
15,2,drop_e_max,19,4,2,32,0
15,2,drop_e_max,20,4,2,32,0
15,2,drop_l_hc,0,6,0,32,0
15,2,drop_l_hc,1,6,0,32,0
15,2,drop_l_hc,2,5,1,32,0
